time,H,He,C,N,O,Ne,Mg,Si,Fe
3433527.942746884,0.022480415254516956,0.010632414920343898,0.0008353897183272315,6.45178474333795e-05,0.00044812604163776173,0.00010110835145345379,2.544183529910771e-05,4.75552509710483e-05,5.672749651042911e-05
3440729.16465798,0.022473510671578312,0.010691307034772952,0.000848673098604953,6.52887988656436e-05,0.0004533079432624993,0.0001022204200884421,2.5500055299613135e-05,4.812164171006735e-05,5.7079980966888205e-05
3447945.489867463,0.02246717684733866,0.010750428811788443,0.000861930472457691,6.605974586601369e-05,0.0004585038753419575,0.00010333087194044479,2.555832889054127e-05,4.869272800537712e-05,5.7435738432161414e-05
3455176.950051834,0.02246018608833711,0.0108093771176319,0.0008751568309692105,6.682948053902472e-05,0.0004637042489488326,0.0001044376240982741,2.561548302569755e-05,4.926737670215251e-05,5.779262258634608e-05
3462423.5769540593,0.022452283685175753,0.010868066439704427,0.0008883503131938816,6.759771628295356e-05,0.0004689069798586459,0.00010554017291921036,2.567126643158232e-05,4.984537674794392e-05,5.815019926654905e-05
3469685.4023836525,0.022443404509544008,0.010926473124432082,0.0009015096611354315,6.836434552323563e-05,0.00047411144440508135,0.00010663832157131305,2.572560734576899e-05,5.042669693370288e-05,5.850836798353372e-05
3476962.4582168693,0.022434219991075015,0.010984813951370655,0.0009146359964783868,6.912995795731937e-05,0.0004793226995001017,0.00010773306845247414,2.577913176675483e-05,5.101200414630928e-05,5.886832438826967e-05
3484254.7763967933,0.022425219947706347,0.011043246373068583,0.0009277298377735129,6.989497059893042e-05,0.0004845443987352182,0.0001088251158370285,2.583229350327742e-05,5.160179342057784e-05,5.9230944651792784e-05
3491562.3889335236,0.022416271685168975,0.01110172457154018,0.0009407896680362824,7.065921002638894e-05,0.0004897753907159873,0.00010991415372930532,2.5884956427722863e-05,5.2195970195383475e-05,5.959600965268863e-05
3498885.3279042947,0.02240754121449029,0.011160300212711596,0.0009538149271995822,7.142278521371726e-05,0.0004950168264280387,0.00011100035614481538,2.593726731237423e-05,5.279472315264593e-05,5.996382596129901e-05
3506223.625453596,0.02239951560053502,0.011219129742290087,0.0009668060845793655,7.218610869916161e-05,0.0005002723316365764,0.00011208441739843006,2.5989677003124735e-05,5.339854539379815e-05,6.033526516495481e-05
3513577.3137933635,0.02239266533522577,0.011276322640043236,0.0009793331733736993,7.292402612384517e-05,0.0005053684104538296,0.00011313074316107938,2.604065669532687e-05,5.398739048963962e-05,6.069824734548984e-05
3521471.221909157,0.022386486985207905,0.011334864621000387,0.0009920586841292562,7.367548704992395e-05,0.0005105742673359807,0.00011419447175077032,2.6092760520220507e-05,5.459244363511054e-05,6.107182253012615e-05
3529628.7536406275,0.022380676346634768,0.011394466093395547,0.0010049396401931477,7.443776668514901e-05,0.000515871356865711,0.00011527156137661513,2.6145490386387182e-05,5.521169235372318e-05,6.14543521960543e-05
3537805.182395453,0.02237521819092233,0.011454195764069992,0.0010177807642887274,7.519925867239229e-05,0.0005211792455125806,0.00011634553871578459,2.6197941484599862e-05,5.583580475515471e-05,6.18399435053289e-05
3546000.5519488375,0.02237016227809165,0.01151406712203649,0.001030581035403907,7.595995797692497e-05,0.0005264981736882626,0.00011741638175203047,2.6250149709694915e-05,5.6464860756611746e-05,6.222869900235929e-05
3554214.9061773596,0.022365325063168812,0.01157401744924496,0.0010433386602420704,7.671963784390413e-05,0.0005318265794369235,0.00011848368827662643,2.6301929777864487e-05,5.7098719459528453e-05,6.262031079623961e-05
3562448.28905927,0.02236067539913627,0.011634033742691233,0.0010560523260400537,7.747821523840023e-05,0.0005371640741901179,0.00011954730235623021,2.6353240672208565e-05,5.7737384598035866e-05,6.301473924812633e-05
3570700.7446746663,0.02235668504775835,0.011694267147159085,0.0010687223390626588,7.82360829414329e-05,0.0005425141470065878,0.00012060788363961475,2.640451774435557e-05,5.8381336643514716e-05,6.34128297341905e-05
